DateKey	Date	Day	Month	MonthName	Year	IsWeekend
20210101	2021-01-01	1	1	January	2021	0
20210102	2021-01-02	2	1	January	2021	1
20210103	2021-01-03	3	1	January	2021	1
20210104	2021-01-04	4	1	January	2021	0
20210105	2021-01-05	5	1	January	2021	0
20210106	2021-01-06	6	1	January	2021	0
20210107	2021-01-07	7	1	January	2021	0
20210108	2021-01-08	8	1	January	2021	0
20210109	2021-01-09	9	1	January	2021	1
20210110	2021-01-10	10	1	January	2021	1
20210111	2021-01-11	11	1	January	2021	0
20210112	2021-01-12	12	1	January	2021	0
20210113	2021-01-13	13	1	January	2021	0
20210114	2021-01-14	14	1	January	2021	0
20210115	2021-01-15	15	1	January	2021	0
20210116	2021-01-16	16	1	January	2021	1
20210117	2021-01-17	17	1	January	2021	1
20210118	2021-01-18	18	1	January	2021	0
20210119	2021-01-19	19	1	January	2021	0
20210120	2021-01-20	20	1	January	2021	0
20210121	2021-01-21	21	1	January	2021	0
20210122	2021-01-22	22	1	January	2021	0
20210123	2021-01-23	23	1	January	2021	1
20210124	2021-01-24	24	1	January	2021	1
20210125	2021-01-25	25	1	January	2021	0
20210126	2021-01-26	26	1	January	2021	0
20210127	2021-01-27	27	1	January	2021	0
20210128	2021-01-28	28	1	January	2021	0
20210129	2021-01-29	29	1	January	2021	0
20210130	2021-01-30	30	1	January	2021	1
20210131	2021-01-31	31	1	January	2021	1
20210201	2021-02-01	1	2	February	2021	0
20210202	2021-02-02	2	2	February	2021	0
20210203	2021-02-03	3	2	February	2021	0
20210204	2021-02-04	4	2	February	2021	0
20210205	2021-02-05	5	2	February	2021	0
20210206	2021-02-06	6	2	February	2021	1
20210207	2021-02-07	7	2	February	2021	1
20210208	2021-02-08	8	2	February	2021	0
20210209	2021-02-09	9	2	February	2021	0
20210210	2021-02-10	10	2	February	2021	0
20210211	2021-02-11	11	2	February	2021	0
20210212	2021-02-12	12	2	February	2021	0
20210213	2021-02-13	13	2	February	2021	1
20210214	2021-02-14	14	2	February	2021	1
20210215	2021-02-15	15	2	February	2021	0
20210216	2021-02-16	16	2	February	2021	0
20210217	2021-02-17	17	2	February	2021	0
20210218	2021-02-18	18	2	February	2021	0
20210219	2021-02-19	19	2	February	2021	0
20210220	2021-02-20	20	2	February	2021	1
